Name,Organization
Greg Archie,Tsqescen First Nation
Nicholas Coutu,Williams Lake First Nation
Aaron Higginbottom,Williams Lake First Nation
Spencer Neufeld,Williams Lake First Nation
Nishitha Singi,Williams Lake First Nation
John Walker,Williams Lake First Nation
Teena Sellars,Xatsull First Nation
Simon Norris,Hillcrest Geographics
Brian Englund,Horsefly River Roundtable
Helen Englund,Horsefly River Roundtable
Judy Hillaby,Horsefly River Roundtable
Rick Walters,Horsefly River Roundtable
Robin Hawes,Department of Fisheries and Oceans Canada
Tyler Thibault,Department of Fisheries and Oceans Canada
Kirsten Jorgensen,Department of Fisheries and Oceans Canada
Stewart Pearce,Department of Fisheries and Oceans Canada
Josh Noseworthy,Global Conservation Solutions
Chris Swan,"Ministry of Water, Land and Resource Stewardship"
Nicolas Lapointe,Canadian Wildlife Federation
Nick Mazany-Wright,Canadian Wildlife Federation
Betty Rebellato,Canadian Wildlife Federation
Sarah Sra,Canadian Wildlife Federation
